Complexity,LOC,Lang_Type,Maint_Type,Skill,Age,Interdependence,Team_Size,Exp,Def_Density,Def_Severity,Churn,Change_Req,Test_Cov,Doc_Quality,Cost
62,16395,Python,Corrective,5,16,High,11,Junior,6.524759555,Medium,27.40831956,79,98.41065434,Poor,14749.5174
63,1460,JavaScript,Corrective,10,18,High,7,Mid-level,0.527197663,Medium,80.11640672,37,87.72677441,Poor,11078.47542
25,38758,PHP,Adaptive,5,10,Medium,4,Senior,4.461704378,High,37.71787918,40,92.05486142,Good,12717.80146
56,45332,Ruby,Adaptive,10,19,Low,12,Junior,5.539794872,Medium,90.33360065,6,75.90539943,Good,12162.13005
33,11884,Python,Adaptive,5,2,High,6,Mid-level,2.979549313,High,6.969069673,77,73.4525091,Poor,12317.83477
38,6865,JavaScript,Corrective,10,7,Medium,14,Mid-level,4.550756355,Medium,5.821751208,52,69.37936027,Average,8824.850258
6,17450,JavaScript,Corrective,5,13,Low,12,Mid-level,1.635537945,Low,92.70041601,62,79.22592113,Poor,11674.9156
58,37794,C#,Corrective,3,0,Low,11,Junior,3.041238495,High,64.84549142,88,82.07314934,Average,14403.18672
44,22562,C#,Corrective,7,13,Low,19,Senior,6.211063249,Low,37.95993564,31,85.27099375,Poor,9528.019098
45,47791,Java,Adaptive,6,1,Low,5,Mid-level,3.018000559,Low,75.50604148,37,70.28474016,Average,11970.60361
32,44731,JavaScript,Perfective,4,3,Medium,14,Junior,8.997430784,Medium,67.232681,21,97.94616324,Average,11545.1028
45,16623,JavaScript,Perfective,2,18,Medium,16,Senior,6.284069576,Medium,53.12010468,15,66.79033993,Good,11812.91448
61,41690,PHP,Perfective,9,5,Low,13,Senior,4.386490184,Low,9.887334266,51,98.62612699,Poor,9959.049662
47,2285,JavaScript,Adaptive,1,0,Low,20,Mid-level,0.387569356,High,81.21795873,28,60.5942449,Good,8820.244175
21,1369,JavaScript,Adaptive,4,16,High,4,Mid-level,4.995483352,Medium,86.60231907,15,79.24502767,Good,11795.6905
75,3033,JavaScript,Corrective,1,7,Low,11,Senior,7.647762421,Medium,17.21686886,75,73.33471352,Poor,13619.85504
36,5911,JavaScript,Adaptive,6,18,Medium,17,Senior,2.65557598,High,85.0511652,16,77.96493656,Average,9874.996987
19,38419,PHP,Adaptive,4,20,High,7,Senior,8.067735696,Medium,87.7847311,100,82.82658316,Poor,17556.85654
20,39788,JavaScript,Corrective,5,0,Low,14,Mid-level,2.518067661,Low,54.94286123,63,77.42356632,Poor,10728.18171
57,18168,C#,Corrective,5,4,Low,11,Mid-level,8.23746388,Low,65.61790362,90,76.59387401,Poor,13477.08533
18,20369,Ruby,Preventive,9,15,Medium,9,Senior,0.852683416,High,38.223732,88,89.30893662,Average,12095.96364
47,29293,JavaScript,Corrective,1,5,Medium,13,Junior,8.661837089,Low,28.17916475,12,87.435051,Average,11610.65786
49,6996,JavaScript,Corrective,2,7,Medium,18,Mid-level,4.991864509,Medium,72.1983147,71,93.33085128,Good,11529.54917
14,28080,PHP,Adaptive,6,12,High,11,Senior,2.965375896,Medium,86.1875149,55,69.99835925,Poor,12218.33932
15,42034,JavaScript,Perfective,5,15,Low,15,Mid-level,2.651132504,Medium,65.4077553,4,84.38114039,Good,10345.00911
31,26258,JavaScript,Adaptive,7,2,Medium,19,Mid-level,4.320105589,Low,51.15906106,11,83.40779142,Poor,7362.032499
1,19542,Dart,Adaptive,3,18,Medium,1,Mid-level,9.990494981,Medium,15.89247668,40,74.78951243,Good,14527.02381
54,19031,Python,Corrective,3,11,Low,4,Junior,2.203273934,Medium,5.34587126,2,79.44230168,Average,11695.96203
3,3347,Python,Adaptive,10,15,Medium,14,Mid-level,1.032166489,High,44.56917902,98,72.55128573,Poor,11307.70269
16,789,Java,Corrective,2,10,Low,14,Senior,5.850351687,Low,4.93495637,32,65.6737759,Good,9393.006886
57,19718,TypeScript,Perfective,3,9,Medium,3,Mid-level,4.885424664,Medium,56.93346319,85,68.55204843,Average,15693.14044
75,36373,Python,Adaptive,10,19,Low,17,Junior,5.241962711,Medium,38.27291913,49,64.22054586,Average,13036.71684
12,2499,Python,Corrective,1,3,Medium,3,Senior,6.669354176,Medium,75.71891197,55,87.32278301,Average,12074.64876
74,1867,Python,Corrective,5,11,Medium,16,Mid-level,2.671440699,Medium,30.56484968,8,86.42909572,Average,8910.002988
16,32151,Python,Corrective,5,1,High,14,Mid-level,9.106649954,Low,59.2982701,81,98.02425486,Average,11747.44856
72,11994,Python,Corrective,7,18,Low,20,Senior,4.356720661,Low,53.76835218,49,89.18713655,Good,10249.61219
76,4156,JavaScript,Corrective,4,4,Medium,13,Senior,1.290861951,High,0.471242552,28,62.08183355,Poor,9803.562562
24,4490,JavaScript,Adaptive,3,7,Medium,15,Mid-level,7.422987567,Medium,7.238939826,38,95.36980696,Average,9738.463515
