complexity,loc,lang_type,maint_type,skill,age,interdependence,team_size,exp,def_density,def_severity,churn,change_req,test_cov,doc_quality,cost
36,16395,c#,adaptive,4,2,low,2,senior,9.841188838262372,low,62.4942275107395,39,73.07910492970957,10,7319.100755640078
1,1460,dart,adaptive,7,6,low,7,expert,7.362539479604622,low,9.658868249453223,96,77.6996525467215,5,2837.455119461406
8,38758,java,adaptive,1,3,high,4,senior,7.74251147700671,high,95.17655161423268,56,85.87786833349222,2,14772.26139717212
52,45332,java,adaptive,7,4,high,2,junior,6.562029803736066,low,79.0773063732034,57,79.76502964565083,4,16799.418781598477
79,11884,java,adaptive,8,3,high,6,expert,4.716631827851603,low,37.39278697067838,90,84.81115268403371,1,7194.1312533412965
47,6865,javascript,adaptive,5,0,high,9,junior,5.716276933611654,low,56.281261095363,98,81.76800008454512,6,5415.846427358609
56,17450,php,adaptive,2,5,low,9,junior,0.46402886015125655,high,4.732453013642135,15,89.59185487744396,2,7876.412858806445
14,37794,java,adaptive,5,6,medium,8,senior,6.239595094320142,low,4.122781399906039,27,88.2374647084648,0,13535.139806901929
28,22562,php,adaptive,6,3,medium,3,senior,6.260981019870467,medium,25.07983351119627,97,81.36759567234478,7,9420.87232569724
78,47791,javascript,perfective,2,1,medium,3,junior,8.912007974018096,low,68.97016423646232,0,87.15612083438828,7,16652.618280128172
2,44731,c#,corrective,6,5,medium,2,senior,5.056563574302194,medium,85.21477478000116,40,94.94238409090451,2,15916.594235173427
26,16623,c#,perfective,6,7,medium,5,senior,0.7714437408606101,high,55.91858799798484,47,77.29085151152674,6,7680.614540465707
14,41690,java,perfective,1,7,medium,4,senior,3.061959204820812,medium,53.21327395823524,30,76.51052290995175,8,14551.95243365801
59,2285,javascript,corrective,1,1,medium,7,expert,6.556294121143175,high,40.2309533791466,35,90.5698248340952,7,2828.808787440398
56,1369,javascript,adaptive,10,4,low,4,senior,2.3925886275146393,high,16.159795595802116,32,83.30215348167977,2,3328.259055887186
7,3033,python,adaptive,3,5,medium,9,junior,2.805278218554009,medium,11.835410132658753,32,62.840271208903545,1,3753.4626074453345
