complexity,loc,lang_type,maint_type,skill,age,interdependence,team_size,exp,def_density,def_severity,churn,change_req,test_cov,doc_quality,cost
36,16395,c#,adaptive,4,2,low,2,senior,9.841188838262372,low,62.4942275107395,39,73.07910492970957,10,9630.231163404844
1,1460,dart,adaptive,7,6,low,7,expert,7.362539479604622,low,9.658868249453223,96,77.6996525467215,5,8123.704869041427
8,38758,java,adaptive,1,3,high,4,senior,7.74251147700671,high,95.17655161423268,56,85.87786833349222,2,16324.980620094353
52,45332,java,adaptive,7,4,high,2,junior,6.562029803736066,low,79.0773063732034,57,79.76502964565083,4,16777.419348259413
79,11884,java,adaptive,8,3,high,6,expert,4.716631827851603,low,37.39278697067838,90,84.81115268403371,1,9839.250833477332
47,6865,javascript,adaptive,5,0,high,9,junior,5.716276933611654,low,56.281261095363,98,81.76800008454512,6,9707.803933752584
56,17450,php,adaptive,2,5,low,9,junior,0.46402886015125655,high,4.732453013642135,15,89.59185487744396,2,9426.023969567821
14,37794,java,adaptive,5,6,medium,8,senior,6.239595094320142,low,4.122781399906039,27,88.2374647084648,0,13173.212711745959
28,22562,php,adaptive,6,3,medium,3,senior,6.260981019870467,medium,25.07983351119627,97,81.36759567234478,7,12837.135805636199
78,47791,javascript,perfective,2,1,medium,3,junior,8.912007974018096,low,68.97016423646232,0,87.15612083438828,7,14585.839295904838
2,44731,c#,corrective,6,5,medium,2,senior,5.056563574302194,medium,85.21477478000116,40,94.94238409090451,2,15882.49869513703
26,16623,c#,perfective,6,7,medium,5,senior,0.7714437408606101,high,55.91858799798484,47,77.29085151152674,6,10802.503860796374
14,41690,java,perfective,1,7,medium,4,senior,3.061959204820812,medium,53.21327395823524,30,76.51052290995175,8,15190.793693707888
59,2285,javascript,corrective,1,1,medium,7,expert,6.556294121143175,high,40.2309533791466,35,90.5698248340952,7,6262.965836408427
56,1369,javascript,adaptive,10,4,low,4,senior,2.3925886275146393,high,16.159795595802116,32,83.30215348167977,2,6103.464726508553
7,3033,python,adaptive,3,5,medium,9,junior,2.805278218554009,medium,11.835410132658753,32,62.840271208903545,1,7516.8417678109
3,5911,javascript,corrective,10,3,medium,2,junior,8.204690163608534,high,76.06797612209661,81,95.68448062764325,9,9528.188704604334
23,38419,python,corrective,10,5,medium,6,expert,5.84319731762709,high,92.75035512965756,22,61.231324089505605,6,13880.236225128503
18,39788,javascript,corrective,3,4,low,7,junior,5.085274317735725,high,45.828321638627315,59,89.93585424838972,6,15845.17320402801
38,18168,javascript,corrective,4,2,high,4,senior,3.1845196680580434,medium,65.94456587156382,86,90.35176570817251,8,11614.747196211962
15,20369,javascript,perfective,2,6,low,6,senior,7.309280359330334,medium,91.44576508809412,78,98.12444341127721,4,12682.841270445726
64,29293,c#,corrective,9,1,medium,7,senior,2.877184344900293,medium,9.011363293414455,89,62.165376336092834,3,13560.442596870473
28,6996,python,perfective,10,4,high,4,junior,7.370635176441752,high,77.04814531190299,29,83.87427443137963,7,8025.03143268972
74,28080,c#,adaptive,7,2,medium,8,senior,0.7010148026744201,low,61.68168843755751,88,77.11362282508212,3,13294.43179113254
39,42034,java,perfective,7,5,low,9,senior,8.645413415820837,low,59.86371788298614,44,73.22531819438169,3,15075.174049967298
57,26258,java,adaptive,6,5,medium,1,expert,4.995664633759328,medium,29.25404284815698,79,63.61274241196292,1,13590.260726233966
17,19542,php,corrective,3,4,medium,7,junior,4.3850801669897,low,68.38933547776769,38,82.50616478685237,0,10849.74539643458
44,19031,python,adaptive,6,3,high,9,senior,6.110234115419245,medium,79.47977548207766,44,79.16162902698454,3,10687.517329087892
25,3347,javascript,corrective,8,5,high,5,senior,6.241920728962704,low,11.285816494369715,77,64.18217832604097,6,8425.639001882275
17,789,javascript,adaptive,8,3,medium,2,senior,1.3203517688999555,medium,53.35214309809838,80,84.49958028388333,8,7565.7431275521185
13,19718,java,preventive,9,3,medium,6,senior,7.562335898162132,high,10.126518098740966,11,89.51812481011754,8,8556.266443495682
25,36373,java,corrective,1,6,low,7,junior,2.759282979500629,medium,87.25740192976446,92,90.69113204214594,9,16584.300723570228
68,2499,java,corrective,1,3,low,2,junior,9.04961880169914,high,50.76367226563473,31,96.21492753049709,0,7894.491767600092
10,1867,php,perfective,3,0,medium,2,senior,8.178506634148325,low,80.79656892607574,55,76.37882967555109,4,7454.121289605
67,32151,javascript,perfective,3,6,medium,1,senior,3.462660415347485,low,36.808563766621425,23,98.12291074488547,6,12175.443316002636
18,11994,java,adaptive,10,2,medium,4,senior,8.077392932007145,high,12.507822681632542,12,94.61717620330745,6,7045.788703987269
34,4156,javascript,corrective,8,2,low,7,junior,3.563904992999042,high,4.149930438571148,19,71.86006284095757,9,6075.59343633937
8,4490,c#,adaptive,10,5,low,9,junior,1.0094768163604062,medium,28.15096207723755,78,66.37132149397834,5,8618.655107556353
40,42206,python,corrective,1,5,medium,3,junior,9.618882387257079,high,24.423370036407853,55,77.41557584512054,10,16931.219562751707
42,31340,javascript,perfective,2,3,low,7,junior,6.5260201521544,high,56.035197401996186,52,76.07594831823866,9,14063.663620458918
41,15102,javascript,preventive,2,6,high,7,senior,4.560995266625917,high,2.1738838063707355,67,83.02877221324817,3,11397.5653895173
6,22377,typescript,perfective,3,6,low,7,expert,3.9777335153103968,medium,52.057054429917336,53,83.33544929310992,2,11545.83412534266
52,11227,java,perfective,6,0,medium,2,junior,3.24705334258264,low,39.177174201200316,33,89.999479375199,8,7506.780473234754
26,9392,java,corrective,1,3,high,6,senior,9.814475954291293,medium,57.71222699144422,27,80.3955979282244,9,8310.70965508163
64,43923,java,perfective,2,0,low,2,junior,1.347472651309074,medium,70.24175281503646,49,64.19290563763062,3,16359.249542333135
59,43621,c#,perfective,1,7,medium,6,senior,3.148050589205683,low,63.4091945079839,1,94.33165342212425,7,13759.943017081672
56,9033,java,corrective,5,3,low,3,junior,4.854976402826635,high,98.46443693733663,93,72.39058332740748,0,11876.052649091875
59,43601,javascript,perfective,7,1,medium,2,expert,4.779995450543114,low,13.826534387687106,25,98.85189841226368,6,12810.47407938338
70,11616,php,corrective,8,1,medium,6,senior,4.713664844078434,medium,42.97370089297785,50,64.71440434719081,5,8729.384762403928
33,24497,ruby,adaptive,10,4,medium,2,expert,1.7578381583038183,medium,42.483073664331116,46,98.33004688930012,0,10560.455559443837
53,3212,javascript,perfective,1,3,medium,5,expert,1.4493252710950055,high,41.705320370292064,25,63.64047227530068,3,7141.599381011073
22,24083,php,adaptive,7,6,high,2,senior,2.5476758632862007,medium,66.37983920426683,83,69.24144551788238,4,13666.793596440797
21,49155,javascript,corrective,5,5,low,3,senior,9.145261538020561,high,48.982806054672245,91,61.863197683461664,10,19339.16157166917
70,17759,javascript,adaptive,10,2,low,3,junior,1.1305296783451013,medium,51.74325598129631,83,88.2045258655598,7,10899.18201445643
70,45574,python,adaptive,1,4,high,6,senior,7.574251033733248,high,43.23559921467647,74,94.01194946287167,3,17890.158356146643
4,41594,dart,preventive,3,5,medium,6,expert,7.575483931333713,high,99.16994610185625,73,77.36284327263922,2,17264.876899928753
75,15141,python,adaptive,7,1,high,3,junior,8.097704038972623,medium,92.75613488190422,60,97.14088300169719,1,10704.816620969923
62,36520,java,corrective,10,3,medium,3,expert,8.866154889893554,high,30.772418936437095,22,83.61196287022398,3,12769.847838581696
62,27131,python,perfective,1,4,high,1,senior,2.6303617753893027,low,11.159392476666719,36,85.20028541786093,10,11501.587520225581
24,2185,c#,adaptive,7,3,medium,7,expert,2.2455946926889636,medium,83.97647240386028,40,93.8167680680308,9,5801.956152504714
55,4543,java,adaptive,5,1,high,8,expert,4.655056665274797,low,99.71702514257245,51,71.87200820207356,3,7458.148870362847
9,24539,python,adaptive,1,4,high,2,senior,2.650891687520361,low,29.26088940396455,82,74.17062885310503,9,13123.719122545632
3,20057,python,perfective,1,1,medium,4,senior,7.343099889831075,high,35.778492584176625,81,96.23807676778577,4,12280.921399809251
31,1621,python,adaptive,1,0,low,7,senior,6.359395767414337,low,94.16331814852029,48,96.03853984155054,6,6604.005536727868
40,12253,javascript,adaptive,9,1,low,8,expert,8.749876880526514,medium,71.11295180030899,26,99.05931104803483,8,6727.8112374681
36,44173,c#,corrective,3,6,low,1,expert,0.8273830348707156,medium,29.563833177963616,5,96.07353265766685,1,13701.809164013908
24,14017,java,corrective,5,6,low,4,senior,9.150833333580747,medium,58.10464912839151,73,65.09488144133444,4,11501.081230879481
6,41357,javascript,corrective,10,3,medium,6,senior,2.9334862667008954,medium,94.4229579364256,65,92.94897144547949,10,14916.278547916858
66,10292,c#,corrective,9,2,medium,3,senior,4.90694345926984,high,81.18131069457786,23,76.39353912438376,9,7865.12687603244
75,46358,python,adaptive,6,1,medium,5,expert,4.386114359396437,low,74.18327137286596,37,99.63205423783751,8,14044.230804196
4,7473,java,perfective,9,5,medium,9,senior,7.603116511044239,medium,73.69963117270224,27,78.89123857315204,2,7617.728103470789
79,6275,kotlin,adaptive,8,6,medium,3,expert,4.203333094318426,medium,17.802032429227033,27,82.15344330008882,0,6868.21404814796
6,761,javascript,perfective,8,7,low,5,senior,9.435531456494093,medium,82.46812392279365,65,81.19099661027194,1,8411.701632001616
51,37665,java,preventive,1,2,low,8,junior,9.025338826385754,medium,27.611863244345813,60,72.86948119433112,5,15313.072223387431
62,27157,javascript,perfective,9,0,low,6,senior,8.721611519695065,high,93.03666579015295,45,63.000883555716726,4,12320.356231191643
57,34363,java,adaptive,6,4,medium,4,senior,0.712583326482279,medium,36.4639991013783,68,95.82604921607674,0,14070.520174813606
66,33206,javascript,adaptive,9,4,low,8,junior,8.542580615539395,medium,85.76603970422565,74,92.10703250105146,0,14742.116698389747
79,12134,python,adaptive,3,6,low,3,junior,7.816354454432105,low,26.623349451780143,73,65.58107122238677,10,10962.68309388811
75,29727,python,corrective,3,2,medium,3,senior,1.03512947006131,medium,51.45269365822405,42,91.07073085400292,3,12389.8634056888
8,40997,python,corrective,6,6,high,4,junior,1.0741432543622187,high,10.688529548906056,58,85.0338666420244,3,16210.338066268869
26,26451,typescript,preventive,9,4,low,9,senior,1.0116381151754117,low,66.0118902996174,1,76.36575151670489,5,9289.361997821614
51,1616,ruby,perfective,7,7,medium,5,senior,0.1133259320448754,medium,83.60792751668383,14,70.16084596382251,5,6319.8127974592635
45,24853,python,corrective,3,1,medium,8,expert,5.486343051945836,high,71.8447281302416,36,94.3891513400893,9,10685.391950837438
44,24876,python,adaptive,3,2,high,6,senior,9.733942914360433,medium,52.32585129386573,70,88.00753037176213,5,12783.553348633706
5,23847,ruby,perfective,2,3,high,3,expert,4.386847028997936,low,4.51158786014595,19,81.90959637876547,0,9898.143126755755
70,24900,python,corrective,9,1,low,8,senior,5.407575018873564,medium,93.34410071708584,97,84.38274135593856,9,12810.476729561593
26,9129,java,corrective,3,1,low,9,junior,9.679697967699555,low,70.54895485786346,34,63.64264728328724,8,8219.123591582142
68,17862,kotlin,perfective,5,1,high,8,senior,2.551822287742307,high,74.5864238365333,33,78.95679043644768,10,9657.94669635043
19,9868,java,adaptive,9,3,medium,4,senior,8.58470252598263,low,79.46805755108072,85,67.74801171142808,6,10189.319352479215
20,21871,c#,corrective,8,7,medium,6,senior,5.463904672117361,high,74.77434259276107,30,68.33534716035301,6,11484.883031140896
12,12785,dart,adaptive,2,0,medium,1,junior,5.6947651466301075,medium,44.11161640983337,86,86.45215849147468,10,10909.188018780678
47,21843,java,perfective,3,7,medium,4,senior,3.4317385720728355,high,73.36218292879468,18,96.45024607337152,6,10932.179470566569
1,39699,python,adaptive,2,7,high,8,junior,5.615843609669081,low,62.50267878103289,67,76.15026441913386,1,16777.908322349038
14,9171,java,corrective,8,7,high,1,senior,0.7314250947828393,medium,85.40163336687866,23,68.30997092048761,1,8661.98490326442
64,40576,php,corrective,6,5,high,3,junior,7.646435726141122,medium,80.24598153373704,83,85.94987748946616,5,17309.69208878763
38,38644,php,adaptive,6,6,low,1,senior,2.8468776154427164,medium,4.1374382467259885,38,94.84748185401271,6,13738.69374966569
37,49816,php,adaptive,9,4,high,9,senior,8.87608329493955,medium,37.888709033260525,91,89.93275204489963,2,18162.55879611507
11,49584,python,perfective,8,6,low,2,junior,3.6785069460745845,high,3.4716152183894566,53,94.75028922146349,3,17306.792484621572
77,41374,php,corrective,4,2,low,9,senior,1.428241104868826,high,10.207492476609792,38,81.46218684043197,2,14341.728258247682
3,3168,typescript,perfective,4,7,high,4,senior,6.95881574368485,low,60.14107220036114,16,90.07504977476763,6,6602.068369291778
33,2627,c#,corrective,9,0,low,2,expert,1.6457814471350285,low,87.38218211622534,18,65.60258237435745,6,4974.594881799405
6,3295,typescript,corrective,1,2,low,4,expert,7.536805155429905,high,11.982475870926724,47,73.93098461452766,3,7684.880372448356
50,48790,php,corrective,2,6,low,6,senior,9.681122364061165,low,45.108928746683155,34,75.5819665792609,6,16516.288216591303
10,5858,c#,corrective,2,4,high,7,senior,7.7955286879526176,high,91.08789048064438,31,80.45182984984137,4,8524.042961245957
5,22602,javascript,adaptive,6,3,medium,3,senior,0.22449248431324675,medium,81.43009836715878,46,97.16305441027295,0,11031.304322947473
23,40104,java,adaptive,4,6,medium,3,senior,5.998857880527747,medium,51.96678964659299,46,94.97186240888698,9,14883.939963021394
10,33759,python,corrective,10,1,low,8,junior,6.954106709697243,low,77.1571439328831,63,65.38101969156739,3,13932.142093116578
44,14586,c#,adaptive,3,6,high,5,senior,8.254583257962851,low,52.2693774044537,45,66.91158607529853,6,10423.052460627801
2,13266,java,corrective,3,1,high,4,senior,0.5600230893900016,medium,15.809233728284877,34,74.30562198355645,1,8682.16258462465
