Complexity,LOC,Lang_Type,Maint_Type,Skill,Age,Interdependence,Team_Size,Exp,Def_Density,Def_Severity,Churn,Change_Req,Test_Cov,Doc_Quality,Cost
10,2800,C#,Corrective,6,9,Medium,1,Mid-level,3.99432279,Medium,43.86114359,45,94.09755543,Poor,11158.08646
44,47540,Java,Perfective,1,16,High,7,Mid-level,4.189292239,Low,76.03116511,22,81.93603747,Average,14934.92241
2,3561,JavaScript,Perfective,4,11,Low,13,Senior,5.145617903,Medium,42.03333094,82,67.89255882,Average,11598.30816
13,47575,Ruby,Adaptive,7,15,Medium,12,Senior,7.089642671,High,94.35531456,45,72.69020866,Good,13303.23474
40,21957,PHP,Adaptive,2,2,High,18,Mid-level,9.061009287,Low,90.25338826,85,71.27718207,Good,12903.48486
2,12569,JavaScript,Preventive,9,8,High,19,Mid-level,1.377340989,High,87.2161152,12,81.23436137,Poor,7128.092842
65,3469,Python,Corrective,8,14,Medium,15,Mid-level,0.543480983,Low,7.125833265,20,62.0674272,Poor,8870.63027
63,47360,Python,Perfective,8,4,Medium,8,Mid-level,0.185312336,Low,85.42580616,0,66.34144634,Poor,10262.37437
73,29243,Python,Corrective,7,12,Medium,19,Senior,1.436213781,High,78.16354454,18,92.50772174,Good,9632.735989
17,25336,C#,Corrective,4,13,High,10,Mid-level,6.579494858,Medium,10.3512947,59,65.30415963,Good,13230.45139
9,39067,Java,Corrective,2,19,Low,7,Mid-level,7.27477078,High,10.74143254,32,69.33585078,Good,14853.78006
75,23928,JavaScript,Preventive,3,14,High,18,Mid-level,7.865057135,Low,10.11638115,3,78.13482422,Average,11164.39314
15,26476,JavaScript,Preventive,6,15,Medium,16,Mid-level,2.437082119,Medium,1.13325932,2,80.68483552,Average,8864.731682
24,21895,Python,Corrective,5,12,Medium,20,Junior,3.058948133,High,54.86343052,90,90.54441918,Average,12711.61128
38,4587,JavaScript,Corrective,8,16,Low,6,Junior,4.831346456,Medium,97.33942914,51,77.89329707,Poor,12924.90146
35,22999,Java,Perfective,6,7,Medium,9,Mid-level,0.631830969,Medium,43.86847029,98,91.59458484,Average,12633.78071
49,46814,JavaScript,Adaptive,6,20,Medium,13,Junior,6.111415232,High,54.07575019,27,84.73385228,Poor,14655.34124
69,34586,Java,Corrective,1,1,Low,8,Junior,9.837350337,Medium,96.79697968,69,64.52398958,Poor,16328.7986
62,21480,PHP,Adaptive,4,4,Medium,16,Mid-level,3.608063114,High,25.51822288,69,66.25325754,Good,12044.2901
60,5335,Python,Adaptive,5,5,High,13,Junior,7.528474751,High,85.84702526,54,77.48134902,Good,12243.17043
50,44664,Kotlin,Preventive,3,11,Medium,13,Junior,5.000339156,High,54.63904672,56,75.87557572,Average,15092.85173
78,5155,JavaScript,Corrective,9,17,High,17,Mid-level,1.278118444,Low,56.94765147,86,89.74177079,Average,11560.21356
75,42514,PHP,Adaptive,1,0,Low,20,Mid-level,5.822374488,Medium,34.31738572,96,83.22948559,Average,13899.00555
9,41418,C#,Adaptive,6,16,Medium,5,Mid-level,2.998742684,High,56.1584361,15,75.52532324,Good,12639.47243
34,46125,Ruby,Perfective,6,10,Low,17,Junior,0.344032085,Low,7.314250948,23,66.83041134,Good,9979.760594
76,20430,PHP,Adaptive,10,9,Medium,9,Senior,6.349297301,Low,76.46435726,68,69.07348409,Good,11894.13977
35,18029,JavaScript,Adaptive,5,18,High,2,Senior,8.589323493,Medium,28.46877615,40,83.02004074,Good,13807.19792
1,7493,JavaScript,Corrective,5,13,Medium,18,Senior,3.447697669,Low,88.76083295,76,76.9375522,Poor,10723.14027
40,14973,JavaScript,Perfective,10,9,Low,9,Mid-level,3.902955472,High,36.78506946,46,80.59710035,Average,10306.43187
64,47933,JavaScript,Adaptive,5,14,Medium,6,Senior,8.91021683,High,14.28241105,75,66.82709741,Average,16840.89986
22,4036,Python,Corrective,6,18,Medium,11,Mid-level,8.136088134,Medium,69.58815744,68,86.51625009,Average,13008.59348
60,9354,Java,Adaptive,8,3,Medium,6,Junior,7.149528236,Low,16.45781447,100,94.10154963,Good,12389.76076
64,11277,C#,Corrective,2,1,High,6,Mid-level,2.487970638,High,75.36805155,30,70.31758027,Average,12113.6384
72,6495,JavaScript,Corrective,6,8,High,13,Senior,9.10216655,Medium,96.81122364,91,79.66056903,Poor,13651.35339
11,20338,PHP,Perfective,1,9,Medium,11,Mid-level,1.544157575,High,77.95528688,91,99.02109316,Average,13901.74407
14,31346,C#,Adaptive,4,10,Medium,14,Junior,6.267705194,Medium,2.244924843,29,73.32966962,Good,11248.82179
60,49977,Dart,Perfective,10,13,Low,2,Senior,0.288011805,Medium,59.98857881,17,83.8018538,Poor,11925.92333
30,49004,Java,Corrective,3,6,Low,8,Senior,6.437198063,Medium,69.5410671,43,63.60782801,Average,13669.95169
35,32952,Java,Perfective,9,14,Medium,3,Junior,2.771443519,High,82.54583258,26,84.2406001,Average,12878.87119
37,40390,Java,Corrective,3,18,Medium,3,Mid-level,4.496769772,Medium,5.600230894,98,63.58527093,Poor,18027.11189
5,42519,JavaScript,Corrective,6,14,Medium,1,Junior,3.452645521,Medium,48.0107828,25,98.36941741,Average,13060.54474
78,6200,PHP,Preventive,1,7,Medium,19,Senior,1.727567562,Low,53.53708726,59,88.62650608,Good,10494.90171
26,29724,Java,Perfective,6,10,Low,18,Mid-level,6.219807901,High,16.91248626,17,91.52639153,Average,9573.943245
62,28243,PHP,Adaptive,4,8,Medium,17,Mid-level,8.819755551,High,32.24498097,96,88.16417443,Good,14309.78969
4,41364,JavaScript,Corrective,8,14,Low,20,Senior,9.590842423,Medium,44.02217263,88,83.58916144,Poor,12537.22052
42,9607,C#,Perfective,9,0,Low,13,Mid-level,1.923463632,Medium,83.3209688,55,77.99651124,Poor,8715.50707
18,46314,C#,Adaptive,4,0,High,3,Mid-level,7.173727741,Low,92.94075661,30,94.33493519,Good,12108.58651
40,38010,Java,Perfective,10,18,Low,1,Mid-level,6.643393666,Low,62.84228289,100,98.2734267,Average,15734.27878
72,44680,JavaScript,Perfective,10,2,Medium,4,Mid-level,3.433777896,Low,39.4945186,58,79.96144692,Average,11975.79389
39,41047,JavaScript,Corrective,6,9,Low,13,Mid-level,0.190991994,Low,25.40310178,1,97.26140197,Good,8508.995574
14,8808,Python,Corrective,1,7,High,17,Junior,6.897912473,Medium,98.21351844,96,83.3333164,Average,13764.12869
32,19189,JavaScript,Adaptive,4,14,Medium,11,Mid-level,9.454948606,Low,98.30199981,38,81.53536748,Good,12793.40094
51,44084,Python,Corrective,7,9,Low,2,Mid-level,6.321201219,Low,92.49769482,60,78.17930932,Poor,14848.77556
