complexity,loc,lang_type,maint_type,skill,age,interdependence,team_size,exp,def_density,def_severity,churn,change_req,test_cov,doc_quality,cost
36,16395,php,corrective,4,1,high,3,junior,0.7512291015450923,low,12.077952243257872,41,80.05585914381297,7,8363.54741843838
1,1460,javascript,adaptive,4,0,low,8,junior,5.356600617281121,medium,42.61152788307795,44,94.93536657484191,2,5767.832035210257
8,38758,java,adaptive,2,1,low,2,senior,8.544550831854034,medium,28.75534564209249,43,63.36006858082503,9,14032.492324546249
49,45332,java,perfective,1,3,high,2,expert,0.04884466020251943,medium,16.03204713669344,90,87.26104119546602,5,16464.30113698107
35,11884,javascript,adaptive,3,7,low,5,senior,9.36661304584681,medium,28.215558403613926,32,87.20438793733109,6,7372.536253219427
52,6865,python,adaptive,4,7,medium,6,junior,1.062785115705358,medium,23.3251691266392,59,86.76320067449133,8,7073.103721971801
15,17450,php,corrective,3,1,medium,2,junior,8.419835280582262,medium,73.4073531005878,85,97.69337979740148,9,11330.066748797806
47,37794,python,perfective,8,2,medium,5,expert,4.828547649829468,medium,3.0775178259160096,92,92.92350116027521,9,14405.48377746653
56,22562,java,adaptive,10,2,low,7,junior,6.59357387278844,medium,61.74627479132213,82,61.67890904974024,3,12689.45567964433
22,47791,typescript,corrective,1,7,low,8,senior,5.106829844471824,low,76.06613420236064,82,78.84331402818053,4,17333.17929925662
14,44731,ruby,adaptive,2,4,low,7,junior,4.770482251793546,medium,48.07234564689732,69,75.91812224805334,7,16411.670808579554
26,16623,java,corrective,7,2,medium,8,junior,8.348994283643915,high,93.15649800079184,82,72.40588884363208,0,12092.872390144044
28,41690,java,corrective,4,1,medium,9,senior,7.558863795678164,medium,70.78806952365353,76,78.0534690061639,5,16138.604941611755
23,2285,python,perfective,8,2,low,5,senior,4.834022365230042,high,74.79236513114172,25,75.3677673970391,3,5813.2354127938415
14,1369,c#,adaptive,3,7,medium,5,senior,1.116359293960616,medium,19.693348744087025,85,77.29335599514661,4,6819.092398497035
24,3033,python,perfective,6,0,high,4,junior,1.1540295931440814,high,77.72955758390735,20,99.1704746243457,10,5527.238762804435
2,5911,javascript,corrective,9,6,low,9,expert,8.015394607190755,high,83.20947360831148,99,63.54531898998323,4,9219.71327235897
45,38419,kotlin,perfective,1,2,medium,5,junior,5.293906213475335,low,36.12663884059896,1,96.88923479354919,1,12215.270538419185
26,39788,python,corrective,1,3,medium,2,senior,4.8158914021936265,medium,21.336306803297123,46,79.20946853884107,7,14002.248154481058
14,18168,php,corrective,8,0,low,8,expert,6.805668413607151,medium,38.50506792036167,29,84.94968981998164,1,8244.800537705545
59,20369,dart,preventive,3,4,medium,7,junior,8.588415834142603,medium,73.96079690001372,26,93.20731866470776,3,9956.567730405246
56,29293,python,perfective,5,3,medium,8,expert,6.288731444133052,low,41.76390058687027,70,74.41852116597022,4,12172.253927207448
51,6996,php,adaptive,1,1,high,3,junior,7.628479023464791,high,73.66518752247879,19,77.21687632351868,0,7528.44399001898
7,28080,javascript,corrective,5,6,high,4,senior,7.65270524116957,low,11.356454097753765,49,76.38073921114855,5,11474.037083772973
3,42034,typescript,perfective,6,1,medium,5,senior,3.562614487929591,medium,80.60117104884844,94,74.98924090143039,1,17155.129151693134
47,26258,javascript,adaptive,8,6,high,6,expert,2.740831956409957,medium,25.32074816423574,22,97.0211728658758,4,9351.752189273764
23,19542,c#,perfective,3,6,medium,1,junior,8.011640671751586,low,24.89289877145937,12,93.15719564772048,5,8446.165246651026
46,19031,javascript,perfective,3,1,medium,4,senior,3.771787917842435,high,59.03809652038608,80,64.35999959451904,10,11507.163106600383
43,3347,php,corrective,10,3,medium,5,expert,9.033360065227052,high,7.0118045746989655,3,64.32493409908385,7,4219.592573918132
47,789,ruby,corrective,9,3,low,7,senior,0.6969069673011963,medium,2.6297726684668565,13,77.11478059411965,8,3198.7748023495983
45,19718,javascript,adaptive,4,6,high,5,senior,0.5821751207533965,medium,26.102866529344926,19,63.94629506931236,5,8624.708575099428
18,36373,php,corrective,4,3,medium,1,junior,9.270041601014082,low,53.80675507348227,12,84.7637238108448,4,12650.871382330175
58,2499,java,corrective,7,6,medium,7,senior,6.484549141814348,high,90.76163862252272,2,65.74766429046936,3,5384.388097583647
38,1867,python,preventive,2,7,high,8,junior,3.7959935644833234,low,84.64351763073068,89,80.89493055867204,1,8098.4803299542455
35,32151,python,adaptive,8,6,low,7,junior,7.550604148161828,medium,49.04464599209754,89,60.28879788014871,1,15098.46756874273
51,11994,java,perfective,6,7,medium,4,senior,6.723268099936412,high,3.705199369349277,81,72.66385393650587,6,9671.610759485817
15,4156,java,adaptive,3,0,low,8,senior,5.312010468195963,low,53.52527346293091,95,87.08762894690622,4,7721.68120221479
25,4490,typescript,adaptive,9,5,high,5,expert,0.9887334266265135,high,70.47955999252954,77,79.36155760911393,6,7648.5740118595
55,42206,python,corrective,5,0,high,9,expert,8.121795872927516,low,33.91645325250337,46,99.13077943995953,10,13643.47064396897
37,31340,c#,corrective,8,1,medium,5,senior,8.660231906806247,high,11.10633032816547,2,94.96415184264843,0,10847.596587018224
28,15102,python,corrective,7,5,medium,1,expert,1.721686885526491,low,27.85679532056594,0,74.36283116172605,0,6267.378497555171
10,22377,php,corrective,8,2,medium,9,senior,8.505116519770667,medium,77.1588864467814,89,61.81946165889099,4,12614.302967489604
39,11227,kotlin,perfective,7,1,high,5,junior,8.778473110165642,low,35.12438322833283,23,93.82505200460075,1,7238.307337107294
57,9392,javascript,corrective,3,4,medium,6,senior,5.4942861228851605,high,81.19814906857101,34,96.44937241258685,7,7302.272616283387
17,43923,php,adaptive,2,0,medium,4,junior,6.56179036222687,medium,31.952145180747582,13,92.82509573676147,2,14323.927067641613
39,43621,python,corrective,7,3,high,6,senior,3.8223732001449138,low,16.355503841381815,66,65.11799763679059,0,15722.53541607682
22,9033,php,corrective,3,0,low,8,expert,2.8179164750926597,medium,43.58483595136082,12,99.9166053764915,1,5212.141746790743
26,43601,java,adaptive,3,3,low,3,senior,7.219831469516448,medium,45.22745122891389,46,70.34336886211095,9,15171.952510269795
44,11616,typescript,corrective,2,5,medium,5,expert,8.618751490158083,medium,1.6108218549336972,49,88.9681965123348,9,7185.754130418734
25,24497,python,corrective,4,4,high,2,junior,6.540775529557475,high,11.704507270632615,77,96.32139505342886,6,12627.149221716412
17,3212,javascript,corrective,8,5,medium,2,senior,5.115906106465492,medium,18.492601877281743,84,69.42748457322838,5,7551.751859700209
13,24083,php,corrective,1,4,low,7,junior,1.5892476684417156,low,11.358731737867489,25,96.33034218708264,7,8950.845356879303
20,49155,java,perfective,1,0,medium,6,senior,0.5345871260481816,low,34.15260754213638,2,72.37926316779468,6,14079.857270966424
25,17759,python,corrective,5,3,medium,4,senior,4.456917902467464,medium,96.4622855617018,50,99.05652889536225,9,9490.779083253936
4,45574,python,corrective,5,5,low,5,senior,0.4934956369742127,medium,50.922253832707796,39,71.25040081521898,7,14898.149273016948
10,41594,java,adaptive,1,4,medium,1,junior,5.693346319072251,medium,62.75560238706465,67,98.13743299031341,2,16234.822264106244
3,15141,javascript,corrective,6,6,high,7,junior,3.827291913177713,low,35.63864785230282,35,62.141786035707,5,8513.902585028134
41,36520,python,perfective,1,1,medium,8,junior,7.571891196819695,medium,32.34877616431461,50,88.37088046679253,6,13930.915504349681
45,27131,java,adaptive,5,1,medium,9,senior,3.0564849683618345,high,2.3146771915008357,0,81.28444535348015,9,9127.287441411125
18,2185,python,adaptive,9,5,medium,8,expert,5.929827009674321,low,50.03336556760224,32,79.11508308490923,10,4323.878550719521
47,4543,php,adaptive,5,3,low,5,junior,5.376835217551005,medium,48.36090067516663,6,68.9397725702336,0,5494.192871604021
36,24539,python,corrective,6,6,high,3,senior,0.04712425522241159,high,15.783072618112303,51,88.22383159105968,0,11141.341524050124
47,20057,java,adaptive,8,5,medium,9,expert,0.7238939826431035,high,76.43240002067037,10,67.63237965785228,6,8459.127921825111
22,1621,python,corrective,1,0,medium,6,senior,2.903682124860205,medium,49.267433031100296,26,82.11367183939073,10,4623.317469723548
34,12253,javascript,perfective,2,4,medium,5,senior,8.82235081020765,medium,33.89939701615733,13,70.12981452161003,2,7278.300454650306
47,44173,php,corrective,9,7,medium,3,expert,1.4701495489977856,high,14.690890902292697,85,98.22485519125425,2,16270.536079867368
8,14017,java,adaptive,3,0,medium,6,junior,7.1089433046054165,low,55.21608269710124,79,61.14524775342611,4,10354.288110148418
40,41357,python,adaptive,6,1,low,3,junior,9.733665661522874,medium,75.28170260888098,45,67.98913120444946,10,15439.118403573331
49,10292,php,corrective,5,4,high,6,junior,7.905675526911552,low,28.199935268497168,75,69.69242425549791,5,9122.602021968778
44,46358,php,corrective,2,5,high,4,expert,2.4294536168704397,medium,21.879435157672255,9,76.56271303071266,1,13937.61414666774
19,7473,python,perfective,7,0,medium,2,expert,9.083652604130815,medium,52.1934964064577,23,69.30920967480213,2,6428.643496078008
42,6275,php,perfective,4,2,high,8,senior,0.9310715650839008,high,15.534330251001693,60,79.65396361075142,5,7217.058134216611
41,761,typescript,corrective,1,7,low,4,junior,4.681419418707358,low,66.6613386594285,17,94.89862093034156,2,4642.839044364813
37,37665,python,perfective,4,3,medium,9,senior,8.875419077264137,medium,60.534362794423046,85,88.48253685636683,4,15428.618835440728
6,27157,php,preventive,6,6,medium,7,junior,6.412657092568698,medium,8.708204959142861,8,83.19847922140444,8,9725.990379162668
52,34363,ruby,perfective,7,6,medium,2,junior,4.136445647276989,medium,3.652037938137387,16,63.56012711930718,2,12348.065450102175
26,33206,javascript,corrective,7,3,medium,4,senior,2.9281286673716878,high,62.02886525885849,57,87.75968433557102,10,13355.008375247742
34,12134,python,perfective,7,2,medium,5,expert,3.7509940531834998,medium,29.42937739887408,12,66.6565713724376,5,6263.954307376325
59,29727,python,corrective,3,1,low,3,expert,5.089417810092862,high,8.644575317339854,49,91.45469543846792,10,11430.550857153623
56,40997,php,preventive,6,4,medium,9,senior,3.190439298728074,medium,75.94287049564865,100,70.00227034040613,4,16840.091161975386
59,26451,dart,adaptive,8,3,low,5,junior,9.689678620822997,medium,31.40440030176441,5,76.68194913283604,4,10089.239842114523
45,1616,c#,corrective,4,2,high,2,junior,9.330776530661451,high,45.959954963822355,84,74.01880809271711,10,8376.876210934231
6,24853,javascript,perfective,8,5,low,3,senior,8.706714682143208,low,23.681292745376926,50,94.35255658699427,5,10498.389551013493
37,24876,c#,corrective,2,7,low,9,senior,4.218298355226534,low,62.731707835796456,35,65.06177834853632,5,10318.754072991369
57,23847,javascript,preventive,10,6,medium,7,expert,6.913017693352289,high,30.148841535435945,70,82.62579529539154,0,11633.264031926155
33,24900,java,preventive,9,7,medium,2,senior,9.028293070359647,medium,96.80209612276283,99,65.68246437772248,10,13791.666717014281
53,9129,python,adaptive,9,2,high,9,senior,8.504294876789281,high,70.29475486169065,24,88.19183344528747,8,6928.9510759057575
22,17862,php,corrective,8,7,medium,4,junior,4.143270140202077,high,13.672227637346579,10,96.20312511177924,4,8147.25313283171
21,9868,java,adaptive,10,1,medium,9,junior,1.123860493222607,medium,41.66948396734668,43,77.38430615469014,0,7602.6420853231
6,21871,php,corrective,10,1,high,2,senior,0.7563036383454946,medium,38.54210997298786,13,79.52369041059903,7,8575.969571092091
6,12785,java,corrective,1,0,medium,4,junior,5.770640452257027,medium,53.42471107203831,28,97.09691345931049,6,7853.905921611992
55,21843,python,perfective,2,3,low,5,senior,6.426279352109317,medium,84.19306744792533,73,80.83965554597428,6,11686.925636118303
48,39699,python,corrective,6,0,medium,2,expert,8.498426045970241,high,58.34220151830017,49,79.50393752198244,4,14773.24787448914
4,9171,javascript,corrective,10,7,high,1,senior,2.9251502034103103,high,6.155667759999927,4,83.13316410817217,0,5991.7162695397365
30,40576,typescript,preventive,5,6,medium,7,junior,1.6747049055004248,medium,65.5415696802855,71,87.56918945451808,8,15449.401982489688
11,38644,python,corrective,9,2,low,1,junior,3.790058331781995,low,0.8265297945858396,68,64.27533500348126,10,14500.981697957734
30,49816,php,corrective,5,4,low,8,senior,3.5357512363227506,medium,77.9960460540393,87,92.84442110966064,8,17754.090596935137
31,49584,javascript,preventive,2,7,low,3,senior,1.3246895401785475,low,66.6636072411242,56,77.42020109813038,7,16401.34509773682
24,41374,php,corrective,10,4,medium,6,senior,6.722826525131521,high,30.8785658352586,25,62.89394039589942,4,14276.890712414213
55,3168,java,perfective,4,1,medium,7,senior,5.08691940729376,low,29.244180458951575,5,91.44730676792852,2,3969.504249480763
9,2627,php,preventive,9,4,low,1,senior,7.211227561147663,high,79.82729965463055,15,75.07799886745089,7,5409.777423480191
55,3295,php,preventive,1,4,high,6,senior,3.526911201697347,medium,78.33366919246205,59,64.01469980380216,0,7385.645053497332
3,48790,java,adaptive,1,6,high,7,senior,3.2570221157770227,high,35.230235437675994,99,85.35116158173003,2,18785.67935964497
51,5858,python,corrective,7,4,medium,6,expert,4.725758530438556,medium,29.894772807978033,11,95.20525413734566,10,4239.823230693484
31,22602,php,corrective,3,7,high,4,senior,8.77407345395147,medium,55.982478888279,74,95.51014037655946,6,11777.700493245367
40,40104,kotlin,perfective,10,2,low,1,junior,0.4028130673398034,medium,0.836565998414418,2,98.30653899235892,3,12230.841541398768
37,33759,python,perfective,2,4,medium,9,senior,8.04832817296472,high,8.266703798654229,62,94.70821839066753,6,13453.295048351614
36,14586,ruby,adaptive,9,5,medium,4,senior,3.689876126577565,medium,12.616959014873675,63,60.08563677381901,10,8982.70345715696
24,13266,typescript,corrective,3,4,high,7,expert,8.546190257884778,medium,18.54118178271742,61,75.20964665653561,4,8585.113259137457
31,39260,php,corrective,2,4,high,7,senior,8.022030088358566,medium,51.20181266754691,100,92.74170319622013,5,16388.09012749157
6,4161,kotlin,corrective,8,0,low,2,expert,3.487612473960884,low,99.2241914861122,5,74.65012023993897,6,4406.059514891474
