Complexity,LOC,Lang_Type,Maint_Type,Skill,Age,Interdependence,Team_Size,Exp,Def_Density,Def_Severity,Churn,Change_Req,Test_Cov,Doc_Quality,Cost
52,217064,PHP,Corrective,2,9,Low,6,Mid-level,4.67260996,High,15.5017012,19,70.2034889,Average,7001.622556
15,219041,Java,Corrective,3,6,Low,3,Senior,1.067118191,High,40.59838712,34,65.08134304,Average,6745.637151
72,282707,C#,Corrective,6,8,Low,5,Senior,6.495560068,Low,43.35760755,22,62.341464,Average,8058.881499
61,317867,JavaScript,Corrective,9,0,Medium,5,Mid-level,8.679995919,Medium,33.65040831,25,72.21653994,Average,8699.357872
21,126511,JavaScript,Corrective,9,1,Low,5,Junior,8.281858693,High,2.34822112,43,66.30644107,Good,5105.295758
75,365212,PHP,Corrective,7,8,Low,8,Junior,6.26054709,High,28.31614401,46,66.96041792,Average,10306.70302
75,224377,JavaScript,Corrective,3,8,High,9,Mid-level,0.752787167,Medium,38.1647456,31,90.43037234,Average,6761.88486
24,336221,PHP,Corrective,4,5,Medium,9,Senior,1.123970272,Low,6.825150604,26,60.63352284,Good,8422.340903
3,277132,JavaScript,Adaptive,6,5,Medium,6,Junior,0.493089871,High,11.43353757,32,82.31240503,Poor,7748.530442
22,6169,Java,Perfective,5,3,Medium,6,Senior,2.574792165,High,44.12475525,45,75.17845522,Poor,2540.224764
53,70436,Dart,Corrective,2,3,High,9,Junior,1.356614672,Low,1.006086093,18,80.262,Average,3455.819052
2,105173,Python,Preventive,6,4,Low,4,Senior,2.600480403,Medium,37.63635689,11,82.51320949,Average,3752.19549
30,430402,Python,Perfective,3,2,High,6,Mid-level,3.850580557,Low,23.68866463,41,72.53470778,Good,10823.77862
38,258690,PHP,Corrective,8,0,High,4,Senior,9.429827841,Medium,22.33860794,31,71.80435441,Average,7485.245114
2,143687,Python,Perfective,2,0,Low,1,Mid-level,6.103760598,Low,0.354826625,22,89.33607397,Average,4943.994919
64,45602,PHP,Adaptive,1,6,High,7,Mid-level,8.349737857,Medium,40.96991155,17,94.85107952,Average,3550.708697
60,248266,JavaScript,Adaptive,9,0,Low,6,Junior,7.103515007,Medium,17.99124503,10,67.7032653,Poor,7258.997064
21,137926,TypeScript,Corrective,3,0,Low,9,Junior,1.125031305,Medium,27.03828157,26,63.90475042,Average,4805.574689
33,410960,Ruby,Adaptive,1,2,High,7,Senior,7.359204064,Medium,33.86503432,21,95.91183226,Good,10433.92315
76,155886,C#,Corrective,7,9,High,7,Senior,2.750988816,High,35.13147882,13,73.99581855,Poor,5493.063194
58,499470,Kotlin,Adaptive,5,3,Medium,2,Senior,6.39107847,Low,47.79900294,22,82.05269563,Average,12278.19924
22,212391,Java,Adaptive,5,3,Low,9,Mid-level,3.409619736,Low,26.56699766,40,74.38172578,Average,6233.622551
49,203446,Dart,Adaptive,1,1,Medium,9,Senior,9.976722633,High,19.98597755,16,65.03209345,Poor,6847.334846
59,137762,Python,Adaptive,9,0,High,6,Junior,2.635514795,Low,47.68518132,32,83.5732658,Poor,4905.874921
