Complexity,LOC,Lang_Type,Maint_Type,Skill,Age,Interdependence,Team_Size,Exp,Def_Density,Def_Severity,Churn,Change_Req,Test_Cov,Doc_Quality,Cost
51,76677,PHP,Adaptive,6,0,Medium,1,Junior,2.389976802,Low,32.711789,39,78.06188091,Average,3877.052782
57,353218,JavaScript,Adaptive,1,8,Medium,2,Mid-level,2.812845636,Medium,26.68084657,16,76.32080365,Poor,9659.888413
29,134115,JavaScript,Corrective,6,2,Low,9,Senior,4.111272783,High,47.20206391,45,87.49859216,Poor,5000.887534
78,469809,JavaScript,Perfective,4,4,Low,7,Mid-level,2.343250657,High,19.81386312,38,69.99469861,Average,12016.42927
69,207588,JavaScript,Adaptive,8,9,High,7,Mid-level,0.196514827,Medium,34.69316712,33,85.6100366,Poor,6329.887041
47,336063,Python,Corrective,9,8,Medium,6,Senior,8.793930568,High,24.46613737,48,95.09956967,Average,9327.33026
62,126485,Java,Adaptive,4,5,Medium,3,Senior,9.656098314,Low,25.6288108,13,76.72526399,Poor,5086.6972
69,372521,C#,Corrective,6,8,High,3,Mid-level,3.41570387,Medium,13.38871573,38,96.440628,Average,9874.936524
76,17968,JavaScript,Corrective,1,7,High,2,Senior,3.385068794,High,22.74753884,14,99.72654956,Average,2939.326458
16,147000,PHP,Perfective,4,7,Low,6,Senior,0.070918128,High,23.53924985,38,64.243682,Average,5140.115177
48,188614,C#,Adaptive,7,0,Medium,4,Mid-level,6.802506883,Medium,35.33212609,39,69.32212752,Average,6224.484028
39,92351,Dart,Perfective,1,8,Medium,5,Mid-level,8.254398957,High,47.03199996,38,98.01519006,Poor,4941.271987
33,230803,Java,Corrective,8,5,High,3,Mid-level,1.466083004,Low,16.46606387,35,98.33310746,Good,6400.291571
23,290050,Java,Perfective,6,8,High,6,Senior,1.596663494,High,2.110023429,28,63.90829102,Average,7936.478401
10,479267,Java,Corrective,5,2,Medium,3,Mid-level,7.9008325,Medium,24.81475628,35,60.59994002,Average,12066.01976
69,171587,JavaScript,Corrective,9,2,Medium,8,Junior,6.162907484,Low,27.22306661,46,66.44400093,Average,5888.740578
34,299963,PHP,Preventive,2,5,High,9,Senior,0.448605576,Low,8.422027557,36,99.84051134,Poor,7883.817833
52,212551,Java,Perfective,5,8,Low,4,Mid-level,6.225469905,Medium,38.02323031,39,67.19998466,Good,6904.594732
10,196316,PHP,Adaptive,6,6,Low,9,Junior,3.089177228,Low,49.24645542,39,80.10190427,Average,5999.654023
19,60879,JavaScript,Corrective,7,2,Medium,7,Mid-level,3.687251555,Medium,47.28873585,12,93.93670906,Average,2918.70902
58,315772,C#,Perfective,5,2,Low,3,Mid-level,7.697314183,Low,9.855301941,16,60.81606443,Poor,8792.909133
1,367007,C#,Adaptive,9,1,Low,7,Senior,8.109351927,Low,43.768162,18,84.17955929,Good,8938.339643
