Complexity,LOC,Lang_Type,Maint_Type,Skill,Age,Interdependence,Team_Size,Exp,Def_Density,Def_Severity,Churn,Change_Req,Test_Cov,Doc_Quality,Cost
52,31355,2,3,3,11,2,2,3,8.874245354,2,66.14662053,54,52.82266077,2,13637.03103
93,712131,1,2,9,10,3,20,2,8.939335107,1,90.32736222,56,66.1878388,1,22906.31193
15,452015,1,1,9,4,2,10,2,3.358163646,3,9.854685141,16,20.74694381,1,17167.92035
72,407332,1,2,4,17,2,2,1,6.15069754,3,23.20785779,38,90.58501921,1,22041.89885
61,157542,1,3,4,18,3,2,2,9.269075621,3,70.89000063,89,83.8549207,3,18078.64836
21,174416,1,1,8,5,2,17,1,9.620584989,2,82.37444619,67,47.10837295,3,12626.167
83,306062,1,2,2,17,2,16,2,5.089590404,2,85.70290283,54,41.11489323,2,18677.56462
87,839656,1,1,9,5,1,16,2,4.528248053,3,41.51071769,44,23.65679252,3,25136.93047
75,564586,3,1,6,3,2,14,3,2.786943159,1,8.933990229,75,72.99932246,1,19910.09104
75,502708,1,2,9,11,3,7,3,9.588718732,2,43.77814773,0,13.17437996,3,19050.17881
88,867651,2,1,8,18,3,11,2,1.428143045,2,23.07345902,20,68.02377538,2,26760.96385
100,62629,2,2,7,1,3,1,3,5.79829576,1,29.1196455,82,84.24569861,2,11835.55082
24,329184,1,3,1,16,3,11,3,2.825502675,2,77.22675568,20,22.84715759,3,18063.89247
3,493734,2,1,3,10,2,4,3,2.790082903,3,7.552708603,51,86.64274029,3,20930.02443
22,756195,1,2,2,10,2,7,1,4.049685874,3,82.75812175,81,3.332319944,3,29404.336
53,291160,3,1,5,20,1,15,2,9.987929358,1,42.76690858,42,91.27873854,1,16403.04009
2,549248,1,4,5,15,2,18,3,0.549663068,1,59.60639311,51,11.83622279,3,19414.59604
88,821023,1,2,5,1,2,12,2,5.785418182,1,8.965223124,66,64.57591779,3,25828.06876
30,214920,1,3,4,1,3,17,2,0.82572158,3,33.73590784,43,25.00824689,2,13624.56923
38,890765,3,2,5,7,2,1,2,1.5452083,1,8.970091901,31,83.65523912,1,27983.1189
2,243804,2,1,3,12,2,11,2,4.395629418,3,96.15437229,9,51.23003609,1,15979.11444
64,377965,2,2,1,9,2,1,2,5.104601313,1,80.72616493,63,13.52411912,3,21503.14976
60,461857,1,4,5,7,2,15,1,2.587924084,2,45.96327544,78,57.09915713,2,20004.75721
21,823827,2,2,9,3,3,10,2,3.164571309,2,22.36025483,68,40.78826102,2,25106.91579
33,505492,1,3,9,14,1,7,3,0.869670203,3,93.34551052,67,66.14478166,1,20207.08676
76,654983,3,3,4,0,2,2,3,3.032197838,1,34.45965957,27,88.19032848,1,22828.2748
58,416916,1,1,3,10,3,10,1,9.665584394,2,16.09844317,52,40.93891312,2,21155.98152
22,822052,1,1,1,6,2,4,3,9.447073817,1,56.31643885,50,28.98806795,2,28797.4489
89,759574,1,2,2,16,1,12,2,3.348782901,3,94.37741203,52,1.451509453,3,28623.73026
49,129148,1,2,8,19,2,19,2,5.708539363,3,0.38302905,3,57.48390379,2,10845.89004
91,807991,2,3,1,17,3,11,3,9.095953911,1,23.81248433,78,40.22747674,3,29546.20305
59,487261,1,4,8,11,1,8,3,0.061838226,3,93.84476404,16,37.4649219,1,18985.97842
42,356540,2,1,7,8,3,18,3,8.106835703,2,17.10859669,66,18.29353213,1,16464.09123
92,193714,1,1,8,4,3,11,2,9.483695528,1,11.32434516,73,43.00553452,2,13744.21593
60,732899,2,3,6,9,2,11,3,0.913257343,2,57.01872158,46,98.44419536,2,23499.95739
80,284876,1,1,9,3,3,13,1,1.61447686,1,86.18438233,55,29.77541537,1,14667.13544
15,260747,1,3,3,4,3,3,3,9.607463028,3,47.71098177,22,59.97044134,3,16514.5368
62,616650,2,2,10,9,3,12,3,5.375401436,3,99.45642567,17,77.64868813,2,20236.33539
62,424570,1,2,4,10,3,3,2,0.141966345,1,67.91716995,0,74.91578232,1,18916.02466
47,276987,1,1,6,20,1,10,2,2.576319988,2,7.407490721,34,32.87742875,1,16375.63516
62,639353,3,2,8,9,1,17,3,4.499436743,3,99.28321317,63,61.08600835,1,21917.55966
51,859158,3,2,5,7,2,2,1,6.92908911,3,40.78942368,57,87.12646853,3,29643.75134
55,18640,1,2,3,1,1,17,1,7.331603781,2,28.74025338,94,1.544742773,1,12434.21422
64,53528,1,1,6,7,2,16,3,9.954215129,3,55.78791836,58,43.57343568,2,11249.18675
3,825845,2,3,4,15,3,2,2,2.875111994,2,30.43075918,0,22.42734182,2,27862.29158
51,260214,1,3,9,4,3,20,3,5.382201019,2,8.645750712,2,38.86322904,1,11007.09657
7,840070,1,1,3,2,2,6,2,5.333235479,3,0.142834308,66,41.5989608,1,28839.44811
21,971240,1,1,4,11,3,10,1,4.056452594,2,44.95833529,36,74.66709648,1,30668.56597
73,502108,2,1,7,12,3,10,3,1.691618938,2,83.68634222,82,9.38218724,2,21215.93173
39,635421,2,2,7,12,2,8,2,9.774565632,2,57.23151856,28,51.25839031,1,23349.45025
18,369501,1,2,4,9,1,1,1,8.533171867,3,99.92072989,88,56.41947918,1,22158.74604
4,725226,1,2,6,3,2,13,3,4.983330283,3,28.68466456,32,49.41576036,3,22542.11875
89,151159,1,1,3,8,3,9,2,6.032454227,2,28.04550648,99,73.18732531,1,16399.7797
60,173502,2,1,6,1,2,10,2,2.272610536,2,15.97494602,60,38.37912559,3,12793.38453
14,156576,1,2,2,18,2,15,2,5.437870704,2,16.40635883,92,94.49670636,3,15102.3718
9,925618,1,2,8,0,1,5,3,6.949701331,2,28.5186596,89,48.18034425,2,27933.11999
90,866291,2,4,2,6,3,16,3,5.151670284,1,79.28400453,3,57.12139096,2,26541.19314
53,887089,1,1,7,16,3,13,3,9.902851706,3,90.57567906,13,82.55308233,1,27814.41274
2,929479,2,2,9,2,3,20,1,6.113416562,2,97.50871697,90,27.52361059,3,27033.22914
84,12023,1,2,1,19,3,18,3,3.709737126,2,23.22896541,32,7.520202876,2,12092.37651
92,546735,1,2,8,19,3,11,2,7.721520276,1,88.12975456,21,70.77839784,2,20934.71682
60,389043,1,3,7,20,3,9,2,1.704625116,1,32.82550893,47,48.30118555,1,18507.4382
71,287103,2,2,6,2,3,16,2,3.845158137,3,11.28405445,2,89.6504251,3,13196.49184
44,67203,3,4,6,2,3,2,3,3.469589504,2,87.00249255,86,98.26800487,1,12483.35136
8,906588,3,1,6,16,2,2,3,4.318070951,1,63.61056346,84,39.91093506,2,29912.51056
47,161775,1,1,9,6,1,12,1,7.817798259,2,16.47308961,22,41.54390163,2,11604.20626
35,10337,2,3,2,13,2,8,2,4.841730322,2,42.98312575,67,40.79626022,1,13422.86606
78,571715,1,2,1,16,2,9,3,7.940144503,1,28.72576949,20,32.45541097,2,23527.38919
81,515723,1,1,6,17,2,12,1,5.764889031,2,73.67945687,100,78.16870978,3,22887.65909
36,324673,3,1,10,12,2,9,3,3.420694347,2,45.34162306,42,75.89957625,3,14163.24179
50,365167,1,1,8,19,3,10,2,8.099787437,2,98.92799451,94,47.86448706,3,19429.31385
4,347809,1,3,3,19,3,2,2,2.382896706,2,5.474498226,84,4.466121638,2,21217.18095
2,631075,1,1,10,20,3,16,2,2.243829798,2,35.50152661,25,30.95593015,2,20458.83131
6,688281,1,1,1,17,2,20,2,5.045029241,3,48.19001671,40,29.23030466,1,25678.76996
54,296451,1,1,9,3,1,7,3,2.60849246,2,50.31335547,98,81.10872462,2,14970.34878
4,421571,2,1,1,0,1,2,2,0.09087035,1,31.59358224,37,8.757557342,1,19725.89937
54,128016,1,1,3,17,2,1,3,6.482975273,1,72.92402491,87,80.5675379,2,16182.56227
93,792267,3,2,8,0,1,19,2,5.110938215,2,87.47470735,10,66.91836522,2,22454.62371
63,545447,3,1,3,12,1,4,1,4.455178145,3,93.8719302,28,73.24414591,2,24021.37601
18,498562,1,3,4,19,3,2,1,9.669685146,1,80.50933768,59,43.22131876,2,24063.54202
90,703965,1,1,8,19,3,14,2,5.71199184,3,85.05801973,66,67.9725796,3,25296.06349
44,384934,1,2,1,9,2,2,3,8.634315778,1,55.05453006,64,60.90289447,2,20818.35528
34,893048,2,3,6,10,1,15,2,1.394502362,2,82.58882264,60,76.89801952,3,26784.37415
74,956592,1,2,1,8,2,12,2,5.692064631,3,30.35039091,18,44.67698345,3,30796.02858
62,866184,2,2,1,8,1,5,2,8.679796267,2,39.84787621,45,47.28256249,2,30513.07338
100,318428,1,1,8,4,3,20,2,5.831057573,2,31.69130138,48,64.35762227,2,14366.54604
14,320187,2,1,4,0,2,7,2,7.180141781,1,46.73873354,21,10.80774937,1,16362.37035
95,691907,1,2,1,16,2,10,3,3.720435678,3,28.55796162,77,43.62444484,3,27591.72893
48,884439,1,4,10,1,2,14,2,0.92449517,1,96.16114423,56,97.19508453,2,24020.08439
15,83844,3,2,7,12,1,14,2,4.579002951,3,31.2844628,13,3.755232006,3,10478.65029
72,552820,2,2,5,8,2,5,1,3.944793908,1,9.804453811,43,31.60047229,2,22378.89694
78,166421,1,3,5,3,3,18,3,8.670601824,3,52.68171661,15,31.41098191,3,12149.77895
87,123402,3,2,1,4,2,14,2,2.439953024,2,5.709907845,96,63.34641192,3,14377.12072
62,119012,1,1,10,10,1,2,1,9.667342275,3,11.05431663,76,10.58003594,2,14716.44545
40,439661,3,2,6,18,2,12,2,9.581381198,2,21.93893892,11,62.85440309,1,19107.50878
85,399929,2,4,9,20,2,6,2,2.476316431,3,46.43502499,54,9.504024065,2,19933.34653
80,581466,1,1,9,2,3,4,2,3.480519555,1,43.32509323,50,9.495364742,2,21149.04377
82,574695,1,2,8,11,2,13,2,8.955557409,1,79.9691862,38,72.81833572,1,20881.11831
53,464556,1,1,5,18,2,4,3,9.666222209,2,73.94746539,32,32.41351738,3,21433.34437
24,576278,2,2,1,18,2,14,1,4.434391028,1,42.6318294,32,97.74229477,2,22894.7353
26,994176,2,1,9,12,2,16,3,3.209970456,1,33.37042076,28,3.735293644,3,26594.01621
89,130473,1,2,1,6,2,4,2,5.260940133,3,31.64687841,68,44.51066637,3,16638.68174
60,984049,1,3,8,14,2,1,2,6.877692064,3,77.39950873,69,11.31359377,2,32867.61081
41,479007,3,1,5,6,2,13,2,2.734745154,2,5.207240622,30,35.13789668,3,18438.27175
29,845573,3,2,3,7,3,4,2,7.364731746,3,1.282164951,79,99.82224506,2,29821.12155
15,418009,2,3,7,4,2,20,3,0.516573571,2,79.55443919,30,88.88425117,3,14020.76704
45,319714,1,4,7,20,3,18,2,0.492944928,1,47.7146376,88,4.832440886,2,16783.82327
65,227156,1,1,9,13,2,6,2,3.862877051,3,13.08811386,45,56.32558438,2,14856.59243
