Complexity,LOC,Lang_Type,Maint_Type,Skill,Age,Interdependence,Team_Size,Exp,Def_Density,Def_Severity,Churn,Change_Req,Test_Cov,Doc_Quality,Cost
66,995653,3,2,3,2,1,19,1,6.565627024,2,88.14858196,76,11.1034923,1,31559.33069
27,188210,1,1,2,19,3,10,2,9.069855184,3,41.59136543,7,44.27649569,1,16731.37739
2,787237,3,2,3,20,3,15,1,1.687494384,1,72.03333692,58,25.3252817,3,27290.40331
90,863557,1,2,6,14,2,3,3,9.683269601,2,91.82850354,64,90.92323765,1,29939.3771
17,145990,1,2,2,14,3,6,2,4.528833604,3,40.80404616,80,10.17545285,2,17344.94906
33,159518,1,2,8,3,1,12,2,9.457151084,2,19.1277371,11,4.915262872,2,11287.56117
9,125040,2,2,1,8,3,15,1,6.768200436,1,51.71179309,3,0.531416915,3,12995.86484
43,669406,1,3,7,18,3,6,2,3.015868699,2,90.80836871,76,32.80696845,3,25495.67903
48,524138,3,1,2,16,2,13,1,1.883025249,2,80.43744141,94,66.03868382,1,24192.86289
39,419034,1,3,10,10,3,19,2,3.037350462,3,6.582984336,40,73.04137529,2,15526.91622
93,757254,3,2,6,8,1,3,2,0.930174093,3,69.25728001,6,45.32616834,3,25611.12213
42,791756,1,1,2,9,1,8,3,1.438679663,2,57.18975225,86,68.43286505,1,28000.60808
26,863755,3,1,2,17,1,8,2,1.046604403,3,90.74631763,87,35.99140362,1,31558.57799
99,796543,2,1,10,19,2,20,2,4.229435437,2,12.24814169,68,66.780622,3,24437.23803
50,956614,2,3,8,12,3,15,3,7.955783763,1,53.40361132,68,4.05959853,3,28354.28045
25,541677,3,3,2,7,3,4,3,1.413835542,1,87.94626935,80,39.07529846,2,23073.90192
24,647465,2,3,7,6,2,19,3,1.303204332,2,41.00237867,29,79.08496776,1,19508.78265
13,304571,2,2,3,16,3,3,2,6.434289495,1,48.19949177,72,80.30060305,2,19052.84038
60,998083,1,2,8,20,3,13,2,1.97182982,3,7.046067767,5,71.61487789,1,29302.92454
7,685106,1,1,7,14,1,8,1,0.976100381,3,27.81436404,88,20.42386206,3,25354.56324
57,123883,3,1,8,19,2,16,3,1.668485782,1,32.45066492,18,24.72051189,3,9979.556784
36,744246,2,2,7,14,1,13,1,9.237313959,2,94.51224487,79,99.60887273,3,25720.12389
45,763501,2,1,6,0,2,3,2,8.214712528,3,28.26673605,84,10.33780072,1,27929.44693
20,918621,1,1,7,13,3,16,2,3.540645624,3,46.08687353,65,18.06626989,2,28701.25623
65,388952,1,2,5,4,1,9,2,6.558207673,3,67.13044236,9,13.00262557,1,18515.48672
8,113221,1,3,7,10,3,14,2,5.372756737,2,16.21833724,15,32.76549637,2,10610.1324
16,800666,2,4,1,15,2,13,1,6.771242635,3,48.64423871,36,21.01758352,3,29033.48962
14,261669,1,4,1,1,2,7,2,6.826711525,2,73.85390395,78,49.76879595,1,18127.63271
76,760224,1,2,9,7,2,15,2,6.287340151,2,86.6855213,76,47.60207069,2,24650.62091
87,840873,1,2,5,10,2,7,3,2.661013685,1,62.62592747,76,90.15056195,2,27565.18539
15,526134,1,2,5,17,1,6,3,0.390064208,1,66.90535153,31,3.473994744,3,20536.47323
92,536242,2,3,3,2,1,2,3,4.55566782,2,12.62834726,46,31.98795767,3,22143.66894
98,342383,1,1,5,0,1,9,3,8.909738847,1,94.57764972,71,59.6657892,3,16969.86424
66,245761,2,2,3,10,2,17,2,5.694972585,1,13.25740775,42,60.48017618,2,14756.20254
32,833946,1,3,9,15,1,5,1,8.323910417,3,77.46729372,81,48.0126229,1,29363.52128
87,875668,1,1,9,17,3,12,2,9.91624343,1,26.48163218,35,81.56655408,2,26866.72696
63,885011,1,2,6,15,2,1,2,1.636162041,2,93.35931437,25,6.272217141,2,29822.9106
86,138541,1,2,1,9,2,10,2,6.917776391,2,71.99595394,9,81.54877656,2,14442.08964
51,948609,1,1,7,17,2,11,2,6.742935737,3,75.3813713,30,49.47542404,2,29888.62619
25,829533,1,1,7,5,2,16,2,9.799554474,2,21.90591731,96,13.37606951,2,26846.38434
