Complexity,LOC,Lang_Type,Maint_Type,Skill,Age,Interdependence,Team_Size,Exp,Def_Density,Def_Severity,Churn,Change_Req,Test_Cov,Doc_Quality,Cost
66,995653,Scripting,Adaptive,3,2,1,19,Junior,6.565627024,2,88.14858196,76,11.1034923,Poor,31559.33069
27,188210,High-level,Corrective,2,19,3,10,Mid-level,9.069855184,3,41.59136543,7,44.27649569,Poor,16731.37739
2,787237,Scripting,Adaptive,3,20,3,15,Junior,1.687494384,1,72.03333692,58,25.3252817,Good,27290.40331
90,863557,High-level,Adaptive,6,14,2,3,Senior,9.683269601,2,91.82850354,64,90.92323765,Poor,29939.3771
17,145990,High-level,Adaptive,2,14,3,6,Mid-level,4.528833604,3,40.80404616,80,10.17545285,Average,17344.94906
33,159518,High-level,Adaptive,8,3,1,12,Mid-level,9.457151084,2,19.1277371,11,4.915262872,Average,11287.56117
9,125040,Low-level,Adaptive,1,8,3,15,Junior,6.768200436,1,51.71179309,3,0.531416915,Good,12995.86484
43,669406,High-level,Perfective,7,18,3,6,Mid-level,3.015868699,2,90.80836871,76,32.80696845,Good,25495.67903
48,524138,Scripting,Corrective,2,16,2,13,Junior,1.883025249,2,80.43744141,94,66.03868382,Poor,24192.86289
39,419034,High-level,Perfective,10,10,3,19,Mid-level,3.037350462,3,6.582984336,40,73.04137529,Average,15526.91622
93,757254,Scripting,Adaptive,6,8,1,3,Mid-level,0.930174093,3,69.25728001,6,45.32616834,Good,25611.12213
42,791756,High-level,Corrective,2,9,1,8,Senior,1.438679663,2,57.18975225,86,68.43286505,Poor,28000.60808
26,863755,Scripting,Corrective,2,17,1,8,Mid-level,1.046604403,3,90.74631763,87,35.99140362,Poor,31558.57799
99,796543,Low-level,Corrective,10,19,2,20,Mid-level,4.229435437,2,12.24814169,68,66.780622,Good,24437.23803
50,956614,Low-level,Perfective,8,12,3,15,Senior,7.955783763,1,53.40361132,68,4.05959853,Good,28354.28045
25,541677,Scripting,Perfective,2,7,3,4,Senior,1.413835542,1,87.94626935,80,39.07529846,Average,23073.90192
24,647465,Low-level,Perfective,7,6,2,19,Senior,1.303204332,2,41.00237867,29,79.08496776,Poor,19508.78265
13,304571,Low-level,Adaptive,3,16,3,3,Mid-level,6.434289495,1,48.19949177,72,80.30060305,Average,19052.84038
60,998083,High-level,Adaptive,8,20,3,13,Mid-level,1.97182982,3,7.046067767,5,71.61487789,Poor,29302.92454
7,685106,High-level,Corrective,7,14,1,8,Junior,0.976100381,3,27.81436404,88,20.42386206,Good,25354.56324
57,123883,Scripting,Corrective,8,19,2,16,Senior,1.668485782,1,32.45066492,18,24.72051189,Good,9979.556784
